annee,indicateur,valeur,unite,denominateur,source,note
2016,masse des salaires soumis à cotisation (dénominateur),13283.119,millions de dinars,cotisations,"CNRPS, états financiers 2016, p. 52, lecture texte ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations salariales et patronales du régime général ÷ taux légal global moyen
2017,masse des salaires soumis à cotisation (dénominateur),14017.214,millions de dinars,cotisations,"CNRPS, états financiers 2018 (provisoires), p. 59, lecture texte ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations salariales et patronales du régime général ÷ taux légal global moyen
2018,masse des salaires soumis à cotisation (dénominateur),14386.658,millions de dinars,cotisations,"CNRPS, états financiers 2018 (provisoires), p. 59, lecture texte ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations salariales et patronales du régime général ÷ taux légal global moyen
2019,masse des salaires soumis à cotisation (dénominateur),16664.38,millions de dinars,cotisations reconstituées,"calcul sur états financiers 2018 (provisoires), p. 59 et HAUSSES (niveau 2018 + hausses des rapports d'activité 2019 et 2020) ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations reconstituées ÷ taux légal global moyen ; à ± 1 MD près
2020,masse des salaires soumis à cotisation (dénominateur),18282.7,millions de dinars,cotisations reconstituées,"calcul sur états financiers 2018 (provisoires), p. 59 et HAUSSES (niveau 2018 + hausses des rapports d'activité 2019 et 2020) ; taux légaux du régime général (loi n° 94-71 ; loi n° 2001-123, art. 85 ; loi n° 2007-43 ; décret-loi n° 2011-48 ; loi n° 2019-37, art. 4), moyenne des douze taux mensuels, série cnrps-regime-general-finances",cotisations reconstituées ÷ taux légal global moyen ; à ± 1 MD près
2021,masse des salaires soumis à cotisation (dénominateur),19211.5,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios) ; rapport de 2020 : calcul","ESTIMATION : masse salariale de l'État (20175,4 MD) × rapport assiette tirée des cotisations / masse salariale de l'État de 2020 (0,952)"
2022,masse des salaires soumis à cotisation (dénominateur),20114.018,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios) ; rapport de 2020 : calcul","ESTIMATION : masse salariale de l'État (21123,2 MD) × rapport assiette tirée des cotisations / masse salariale de l'État de 2020 (0,952)"
2023,masse des salaires soumis à cotisation (dénominateur),20660.023,millions de dinars,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios) ; rapport de 2020 : calcul","ESTIMATION : masse salariale de l'État (21696,6 MD) × rapport assiette tirée des cotisations / masse salariale de l'État de 2020 (0,952)"
1980,pension moyenne mensuelle,58.6,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1985,pension moyenne mensuelle,93.95,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1986,pension moyenne mensuelle,108.63,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1987,pension moyenne mensuelle,114.66,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1988,pension moyenne mensuelle,130.17,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1989,pension moyenne mensuelle,145.14,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1990,pension moyenne mensuelle,152.38,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
1991,pension moyenne mensuelle,166.99,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,numérateur ÷ pensionnés ÷ 12 ; prestations familiales des pensionnés comprises
2000,pension moyenne mensuelle,286.86,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2001,pension moyenne mensuelle,300.45,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2002,pension moyenne mensuelle,322.3,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2003,pension moyenne mensuelle,332.59,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2004,pension moyenne mensuelle,357.98,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2005,pension moyenne mensuelle,375.01,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2006,pension moyenne mensuelle,404.27,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2007,pension moyenne mensuelle,448.09,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2008,pension moyenne mensuelle,478.25,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2009,pension moyenne mensuelle,507.98,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2010,pension moyenne mensuelle,549.97,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2011,pension moyenne mensuelle,598.58,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2012,pension moyenne mensuelle,653.21,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2013,pension moyenne mensuelle,720.85,dinars par mois,masse salariale de l'État (approximation),calcul,numérateur ÷ pensions de toutes natures ÷ 12
2014,pension moyenne mensuelle,739.22,dinars par mois,cotisations,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2015,pension moyenne mensuelle,798.74,dinars par mois,cotisations,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2016,pension moyenne mensuelle,889.12,dinars par mois,cotisations,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2017,pension moyenne mensuelle,992.42,dinars par mois,cotisations,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2018,pension moyenne mensuelle,1036.85,dinars par mois,cotisations,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2019,pension moyenne mensuelle,1190.27,dinars par mois,cotisations reconstituées,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2020,pension moyenne mensuelle,1238.72,dinars par mois,cotisations reconstituées,calcul,numérateur ÷ pensions de toutes natures ÷ 12
2021,pension moyenne mensuelle,1333.11,dinars par mois,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,numérateur estimé ÷ pensions de toutes natures ÷ 12
1980,"pensions, toutes natures (nombre)",41670.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1985,"pensions, toutes natures (nombre)",57210.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1986,"pensions, toutes natures (nombre)",62980.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1987,"pensions, toutes natures (nombre)",68680.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1988,"pensions, toutes natures (nombre)",74390.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1989,"pensions, toutes natures (nombre)",78890.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1990,"pensions, toutes natures (nombre)",83510.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
1991,"pensions, toutes natures (nombre)",88280.0,pensions,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"Banque mondiale, The Social Protection System, rapport 11376-TUN (1993), annexe statistique, tableau 3, p. 85 (montants), tableau 5, p. 87 (effectifs), lecture image ; série bm1993-caisses","« passive pop. », milliers à la deuxième décimale ; pensions ou personnes, non précisé"
2000,"pensions, toutes natures (nombre)",156126.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2001,"pensions, toutes natures (nombre)",164133.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2002,"pensions, toutes natures (nombre)",172363.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2003,"pensions, toutes natures (nombre)",184694.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2004,"pensions, toutes natures (nombre)",192229.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2005,"pensions, toutes natures (nombre)",204853.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2006,"pensions, toutes natures (nombre)",212967.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2007,"pensions, toutes natures (nombre)",216362.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2008,"pensions, toutes natures (nombre)",226575.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2009,"pensions, toutes natures (nombre)",239110.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2010,"pensions, toutes natures (nombre)",254698.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2000-2010, p. 13 à 15, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2011,"pensions, toutes natures (nombre)",268170.0,pensions,masse salariale de l'État (approximation),"CNRPS, guide statistique 2010-2014, p. 12 (retraite ; veuves et orphelins : 93 433), lecture image","effectif de fin d'année ; des pensions, non des personnes"
2012,"pensions, toutes natures (nombre)",280042.0,pensions,masse salariale de l'État (approximation),"CNRPS, rapport d'activité 2016, p. 26, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2013,"pensions, toutes natures (nombre)",286551.0,pensions,masse salariale de l'État (approximation),"CNRPS, rapport d'activité 2016, p. 26, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2014,"pensions, toutes natures (nombre)",305415.0,pensions,cotisations,"CNRPS, rapport d'activité 2016, p. 26, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2015,"pensions, toutes natures (nombre)",325640.0,pensions,cotisations,"CNRPS, rapport d'activité 2016, p. 26, lecture image","effectif de fin d'année ; des pensions, non des personnes"
2016,"pensions, toutes natures (nombre)",342605.0,pensions,cotisations,"CNRPS, rapport d'activité 2020, p. 58, lecture texte, recoupé par le rapport 2016 p. 26","effectif de fin d'année ; des pensions, non des personnes"
2017,"pensions, toutes natures (nombre)",358973.0,pensions,cotisations,"CNRPS, rapport d'activité 2020, p. 58, lecture texte, recoupé par le rapport 2018 p. 83","effectif de fin d'année ; des pensions, non des personnes"
2018,"pensions, toutes natures (nombre)",382371.0,pensions,cotisations,"CNRPS, rapport d'activité 2020, p. 58, lecture texte, recoupé par le rapport 2018 p. 83","effectif de fin d'année ; des pensions, non des personnes"
2019,"pensions, toutes natures (nombre)",393038.0,pensions,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 58, lecture texte","effectif de fin d'année ; des pensions, non des personnes"
2020,"pensions, toutes natures (nombre)",398627.0,pensions,cotisations reconstituées,"CNRPS, rapport d'activité 2020, p. 58, lecture texte","effectif de fin d'année ; des pensions, non des personnes"
2021,"pensions, toutes natures (nombre)",407400.0,pensions,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44","« bénéficiaires de pension », publiés en milliers à la décimale ; égaux aux pensions de toutes natures de la caisse en 2020 (398,6 milliers contre 398 627)"
2022,"pensions, toutes natures (nombre)",420500.0,pensions,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44","« bénéficiaires de pension », publiés en milliers à la décimale ; égaux aux pensions de toutes natures de la caisse en 2020 (398,6 milliers contre 398 627)"
2023,"pensions, toutes natures (nombre)",444300.0,pensions,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,"Ministère des finances, rapport sur les entreprises publiques (annexe 9 au projet de loi de finances), rapport EP, LF 2025 (ar), p. 44","« bénéficiaires de pension », publiés en milliers à la décimale ; égaux aux pensions de toutes natures de la caisse en 2020 (398,6 milliers contre 398 627) ; valeur provisoire"
1990,rapport assiette tirée des cotisations / masse salariale de l'État,1.01971,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","contrôle : même ordre qu'en 2014-2020 (0,95 à 1,01)"
1991,rapport assiette tirée des cotisations / masse salariale de l'État,0.999527,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","contrôle : même ordre qu'en 2014-2020 (0,95 à 1,01)"
2014,rapport assiette tirée des cotisations / masse salariale de l'État,0.997209,taux,cotisations,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2015,rapport assiette tirée des cotisations / masse salariale de l'État,0.99205,taux,cotisations,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2016,rapport assiette tirée des cotisations / masse salariale de l'État,1.009057,taux,cotisations,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2017,rapport assiette tirée des cotisations / masse salariale de l'État,0.976673,taux,cotisations,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2018,rapport assiette tirée des cotisations / masse salariale de l'État,0.97365,taux,cotisations,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2019,rapport assiette tirée des cotisations / masse salariale de l'État,0.993998,taux,cotisations reconstituées,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
2020,rapport assiette tirée des cotisations / masse salariale de l'État,0.952224,taux,cotisations reconstituées,"calcul ; Ministère des finances, répartition économique des dépenses du budget de l'État, ligne « Rémunérations publiques » (série masse-salariale-ratios)","recouvrement : justifie l'approximation des années 2000-2013, par compensation de périmètres"
1980,ratio pensions / cotisants,0.18686099,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1985,ratio pensions / cotisants,0.15905805,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1986,ratio pensions / cotisants,0.17030367,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1987,ratio pensions / cotisants,0.18062751,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1988,ratio pensions / cotisants,0.18831958,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1989,ratio pensions / cotisants,0.19303612,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1990,ratio pensions / cotisants,0.19666533,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
1991,ratio pensions / cotisants,0.20144213,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,pensionnés ÷ affiliés actifs
2000,ratio pensions / cotisants,0.29377419,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2001,ratio pensions / cotisants,0.30283288,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2002,ratio pensions / cotisants,0.31252414,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2003,ratio pensions / cotisants,0.32660532,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2004,ratio pensions / cotisants,0.33052095,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2005,ratio pensions / cotisants,0.34498537,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2006,ratio pensions / cotisants,0.35512434,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2007,ratio pensions / cotisants,0.35156918,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2008,ratio pensions / cotisants,0.36548599,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2009,ratio pensions / cotisants,0.37774927,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2010,ratio pensions / cotisants,0.39424921,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2011,ratio pensions / cotisants,0.39571074,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2012,ratio pensions / cotisants,0.3915171,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2013,ratio pensions / cotisants,0.38739965,taux,masse salariale de l'État (approximation),calcul,pensions de toutes natures ÷ affiliés actifs
2014,ratio pensions / cotisants,0.40694111,taux,cotisations,calcul,pensions de toutes natures ÷ affiliés actifs
2015,ratio pensions / cotisants,0.4263844,taux,cotisations,calcul,pensions de toutes natures ÷ affiliés actifs
2016,ratio pensions / cotisants,0.43938251,taux,cotisations,calcul,pensions de toutes natures ÷ affiliés actifs
2017,ratio pensions / cotisants,0.45886637,taux,cotisations,calcul,pensions de toutes natures ÷ affiliés actifs
2018,ratio pensions / cotisants,0.49934508,taux,cotisations,calcul,pensions de toutes natures ÷ affiliés actifs
2019,ratio pensions / cotisants,0.51415288,taux,cotisations reconstituées,calcul,pensions de toutes natures ÷ affiliés actifs
2020,ratio pensions / cotisants,0.51336117,taux,cotisations reconstituées,calcul,pensions de toutes natures ÷ affiliés actifs
2021,ratio pensions / cotisants,0.52649263,taux,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,pensions de toutes natures ÷ affiliés actifs
1980,salaire moyen mensuel,129.86,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1985,salaire moyen mensuel,150.79,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1986,salaire moyen mensuel,179.71,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1987,salaire moyen mensuel,181.36,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1988,salaire moyen mensuel,200.94,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1989,salaire moyen mensuel,229.23,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1990,salaire moyen mensuel,248.75,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
1991,salaire moyen mensuel,267.8,dinars par mois,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,dénominateur ÷ affiliés actifs ÷ 12
2000,salaire moyen mensuel,492.52,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2001,salaire moyen mensuel,526.58,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2002,salaire moyen mensuel,556.64,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2003,salaire moyen mensuel,584.74,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2004,salaire moyen mensuel,609.33,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2005,salaire moyen mensuel,644.29,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2006,salaire moyen mensuel,685.3,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2007,salaire moyen mensuel,721.39,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2008,salaire moyen mensuel,774.47,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2009,salaire moyen mensuel,829.23,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2010,salaire moyen mensuel,875.24,dinars par mois,masse salariale de l'État (approximation),calcul,"dénominateur ÷ affiliés actifs ÷ 12 ; la caisse publie 979,158 D de salaire brut moyen pour ses actifs (guide 2000-2010, p. 49, périmètre non précisé, 423 032 personnes), soit −10,6 % ici ; non corrigé"
2011,salaire moyen mensuel,944.31,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2012,salaire moyen mensuel,1008.41,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2013,salaire moyen mensuel,1082.45,dinars par mois,masse salariale de l'État (approximation),calcul,dénominateur ÷ affiliés actifs ÷ 12
2014,salaire moyen mensuel,1167.12,dinars par mois,cotisations,calcul,dénominateur ÷ affiliés actifs ÷ 12
2015,salaire moyen mensuel,1253.65,dinars par mois,cotisations,calcul,dénominateur ÷ affiliés actifs ÷ 12
2016,salaire moyen mensuel,1419.61,dinars par mois,cotisations,calcul,dénominateur ÷ affiliés actifs ÷ 12
2017,salaire moyen mensuel,1493.16,dinars par mois,cotisations,calcul,dénominateur ÷ affiliés actifs ÷ 12
2018,salaire moyen mensuel,1565.65,dinars par mois,cotisations,calcul,dénominateur ÷ affiliés actifs ÷ 12
2019,salaire moyen mensuel,1816.63,dinars par mois,cotisations reconstituées,calcul,dénominateur ÷ affiliés actifs ÷ 12
2020,salaire moyen mensuel,1962.07,dinars par mois,cotisations reconstituées,calcul,dénominateur ÷ affiliés actifs ÷ 12
2021,salaire moyen mensuel,2068.96,dinars par mois,estimation : charges de la caisse × part des pensions 2019-2020 ; masse salariale de l'État × rapport assiette / masse de 2020,calcul,dénominateur estimé ÷ affiliés actifs ÷ 12
1980,taux d'équilibre,0.08431655,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
1985,taux d'équilibre,0.09910371,taux,Banque mondiale 1993 : cotisations de pension ÷ taux légal (12 %),calcul,"numérateur ÷ dénominateur = remplacement apparent × ratio pensions / cotisants ; surestimé de la part des prestations familiales, non publiée ; sans raccord avec 2000"
