annee,indicateur,croissance_pct,source,note
1979,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",14.96,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1980,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",18.42,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1981,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",14.91,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1982,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",12.92,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1983,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",15.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1984,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",10.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1985,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.64,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1986,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",-0.53,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1987,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.49,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1988,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.29,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1989,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1990,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",10.44,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1991,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.9,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1992,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",11.57,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1993,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",4.87,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1994,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.93,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1995,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.15,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1996,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",10.21,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1997,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",18.71,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1998,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1999,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2000,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.94,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2001,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.71,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2002,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",2.58,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2003,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.44,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2004,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.78,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2005,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.87,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2006,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",8.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2007,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",7.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2008,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.79,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2009,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.08,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2010,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",11.51,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2011,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",1.3,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2012,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",7.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2013,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.77,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2014,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.63,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2015,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",4.04,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2016,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",4.94,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2017,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.94,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2018,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.67,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2019,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",7.83,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2020,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",-3.62,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2021,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",9.4,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2022,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",5.39,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2023,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.67,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2024,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",6.03,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2025,"PIB nominal par habitant, Banque mondiale (WDI, tel que publié)",7.23,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21 / Banque mondiale, WDI SP.POP.TOTL, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1962,"PIB nominal, Banque mondiale (WDI, tel que publié)",1.6,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1963,"PIB nominal, Banque mondiale (WDI, tel que publié)",16.67,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1964,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.16,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1965,"PIB nominal, Banque mondiale (WDI, tel que publié)",13.65,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1966,"PIB nominal, Banque mondiale (WDI, tel que publié)",5.04,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1967,"PIB nominal, Banque mondiale (WDI, tel que publié)",4.3,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1968,"PIB nominal, Banque mondiale (WDI, tel que publié)",11.88,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1969,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.19,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1970,"PIB nominal, Banque mondiale (WDI, tel que publié)",11.58,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1971,"PIB nominal, Banque mondiale (WDI, tel que publié)",16.62,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1972,"PIB nominal, Banque mondiale (WDI, tel que publié)",21.14,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1973,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1974,"PIB nominal, Banque mondiale (WDI, tel que publié)",34.44,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1975,"PIB nominal, Banque mondiale (WDI, tel que publié)",12.51,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1976,"PIB nominal, Banque mondiale (WDI, tel que publié)",11.0,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1977,"PIB nominal, Banque mondiale (WDI, tel que publié)",13.39,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1978,"PIB nominal, Banque mondiale (WDI, tel que publié)",13.32,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1979,"PIB nominal, Banque mondiale (WDI, tel que publié)",17.64,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1980,"PIB nominal, Banque mondiale (WDI, tel que publié)",21.17,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1981,"PIB nominal, Banque mondiale (WDI, tel que publié)",17.55,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1982,"PIB nominal, Banque mondiale (WDI, tel que publié)",15.43,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1983,"PIB nominal, Banque mondiale (WDI, tel que publié)",17.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1984,"PIB nominal, Banque mondiale (WDI, tel que publié)",13.13,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1985,"PIB nominal, Banque mondiale (WDI, tel que publié)",9.45,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1986,"PIB nominal, Banque mondiale (WDI, tel que publié)",2.02,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1987,"PIB nominal, Banque mondiale (WDI, tel que publié)",12.22,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1988,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.78,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1989,"PIB nominal, Banque mondiale (WDI, tel que publié)",10.73,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1990,"PIB nominal, Banque mondiale (WDI, tel que publié)",12.78,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1991,"PIB nominal, Banque mondiale (WDI, tel que publié)",11.22,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1992,"PIB nominal, Banque mondiale (WDI, tel que publié)",13.94,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1993,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1994,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1995,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.83,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1996,"PIB nominal, Banque mondiale (WDI, tel que publié)",11.81,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1997,"PIB nominal, Banque mondiale (WDI, tel que publié)",20.33,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1998,"PIB nominal, Banque mondiale (WDI, tel que publié)",8.21,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
1999,"PIB nominal, Banque mondiale (WDI, tel que publié)",9.62,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2000,"PIB nominal, Banque mondiale (WDI, tel que publié)",8.15,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2001,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.86,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2002,"PIB nominal, Banque mondiale (WDI, tel que publié)",3.64,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2003,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.51,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2004,"PIB nominal, Banque mondiale (WDI, tel que publié)",9.8,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2005,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.81,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2006,"PIB nominal, Banque mondiale (WDI, tel que publié)",9.28,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2007,"PIB nominal, Banque mondiale (WDI, tel que publié)",8.98,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2008,"PIB nominal, Banque mondiale (WDI, tel que publié)",10.85,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2009,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.16,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2010,"PIB nominal, Banque mondiale (WDI, tel que publié)",12.72,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2011,"PIB nominal, Banque mondiale (WDI, tel que publié)",2.43,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2012,"PIB nominal, Banque mondiale (WDI, tel que publié)",9.08,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2013,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.04,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2014,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.9,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2015,"PIB nominal, Banque mondiale (WDI, tel que publié)",5.22,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2016,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.11,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2017,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.06,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2018,"PIB nominal, Banque mondiale (WDI, tel que publié)",10.76,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2019,"PIB nominal, Banque mondiale (WDI, tel que publié)",8.84,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2020,"PIB nominal, Banque mondiale (WDI, tel que publié)",-2.82,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2021,"PIB nominal, Banque mondiale (WDI, tel que publié)",10.08,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2022,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.01,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2023,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.38,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2024,"PIB nominal, Banque mondiale (WDI, tel que publié)",6.7,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2025,"PIB nominal, Banque mondiale (WDI, tel que publié)",7.86,"Banque mondiale, WDI NY.GDP.MKTP.CN, API téléchargée le 2026-09-21",tel que publié ; contient les ruptures de base de 1997 et 2010
2008,emploi total,2.3,"BCT, rapports annuels 2010 et 2011 (population active occupée ; le plus récent rapport fait foi)",
2009,emploi total,1.36,"BCT, rapports annuels 2011 et 2012 (population active occupée ; le plus récent rapport fait foi)",
2010,emploi total,2.44,"BCT, rapports annuels 2012 et 2013 (population active occupée ; le plus récent rapport fait foi)",
2011,emploi total,-3.23,"BCT, rapports annuels 2013 et 2013 (population active occupée ; le plus récent rapport fait foi)",
2012,emploi total,2.68,"BCT, rapports annuels 2013 et 2015 (population active occupée ; le plus récent rapport fait foi)",
2013,emploi total,3.47,"BCT, rapports annuels 2015 et 2016 (population active occupée ; le plus récent rapport fait foi)",
2014,emploi total,1.34,"BCT, rapports annuels 2016 et 2017 (population active occupée ; le plus récent rapport fait foi)",
2015,emploi total,-0.35,"BCT, rapports annuels 2017 et 2018 (population active occupée ; le plus récent rapport fait foi)",
2016,emploi total,1.03,"BCT, rapports annuels 2018 et 2019 (population active occupée ; le plus récent rapport fait foi)",
2017,emploi total,1.25,"BCT, rapports annuels 2019 et 2021 (population active occupée ; le plus récent rapport fait foi)",
2018,emploi total,0.8,"BCT, rapports annuels 2021 et 2024 (population active occupée ; le plus récent rapport fait foi)",
2019,emploi total,1.65,"BCT, rapports annuels 2024 et 2024 (population active occupée ; le plus récent rapport fait foi)",
