tableau,ordre,position,produit,colonne,valeur,unite,date_effet,date_fin,texte,article,statut
en-vigueur-2023,55,48.13,"Papier à cigarettes, même découpé à format, présenté en cahiers ou en tubes",Droit de consommation,40,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,56,68.02,"Pierres de taille ou de construction (autres que l'ardoise) travaillées et ouvrages en ces pierres, à l'exclusion de ceux du n° 68.01; cubes, dés et articles similaires pour mosaïques, en pierres naturelles (y compris l'ardoise), même sur support; granulés, éclats et poudres de pierres naturelles (y compris l'ardoise), colorés artificiellement",Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,57,Ex69.07,"Carreaux et dalles de pavement ou de revêtement, en céramique ; cubes, dés et articles similaires pour mosaïques, en céramique, de la position tarifaire 690721000 et 690722000 et 690723000",Droit de consommation,10,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,58,Ex70.13,"Objets en verre pour le service de la table, pour la cuisine, la toilette, le bureau, l'ornementation des appartements ou usages similaires, en",Droit de consommation,40,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,59,Ex 87.03,"Voitures de tourisme et autres véhicules automobiles principalement conçus pour le transport de personnes (autres que ceux du n°87-02 du tarif des droits de douane) y compris les voitures du type ""break"" et les voitures de course 1 : - véhicules à moteur à piston alternatif ou rotatif à allumage autre qu'à combustion interne à l'exclusion des ambulances et des véhicules automobiles de 8 ou 9 places affectés exclusivement au transport des handicapés et acquis par les associations qui s'occupent des handicapés et les entreprises et personnes autorisées par les services compétents du ministère des affaires sociales ou acquis par l’Etat pour leur compte 2 : * d'une cylindrée n'excédant pas 1000 cm³",Droit de consommation,63,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,60,Ex 87.03,* d'une cylindrée excédant 1000 cm³ mais n'excédant pas 1300 cm,Droit de consommation,69,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,61,Ex 87.03,* d'une cylindrée excédant 1300 cm³ mais n'excédant pas 1500 cm,Droit de consommation,125,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,62,Ex 87.03,* d'une cylindrée excédant 1500 cm³ et n'excédant pas 1700 cm,Droit de consommation,157,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,63,Ex 87.03,* d'une cylindrée excédant 1700 cm³ et n'excédant pas 2000 cm,Droit de consommation,213,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,64,Ex 87.03,* d'une cylindrée excédant 2000 cm,Droit de consommation,250,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,65,Ex 87.03,véhicules à moteur à piston à allumage par compression (diesel ou semi-diesel) à l'exclusion des ambulances et des véhicules automobiles de 8 ou 9 places affectés exclusivement au transport des handicapés et acquis par les associations qui s'occupent des handicapés et les entreprises et personnes autorisées par les services compétents du ministère des affaires sociales ou acquis par l’Etat pour leur compte 2 : * d'une cylindrée n'excédant pas 1500 cm,Droit de consommation,94,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,66,Ex 87.03,* d'une cylindrée excédant 1500 cm³ et n'excédant pas 1700cm,Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,67,Ex 87.03,* d'une cylindrée excédant 1700 cm³ et n'excédant pas 1900 cm,Droit de consommation,157,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,68,Ex 87.03,* d'une cylindrée excédant 1900 cm³ et n'excédant pas 2 100 cm,Droit de consommation,238,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,69,Ex 87.03,* d'une cylindrée excédant 2100 cm³ et n'excédant pas 2300 cm,Droit de consommation,263,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,70,Ex 87.03,* d'une cylindrée excédant 2300 cm³ et n'excédant pas 2500cm,Droit de consommation,300,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,71,Ex 87.03,* d'une cylindrée excédant 2500 cm,Droit de consommation,334,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,72,Ex 87.04,"Véhicules multi usages, pouvant être utilisés pour le transport de personnes et le transport de marchandises, dont le nombre de sièges y compris celui du chauffeur dépasse trois, et dont la charge utile n’excède pas 3500 kg : 1 - à moteur à piston à allumage par compression relevant des numéros de 87042131 à 87042199 du tarif des droits de douane",Droit de consommation,75,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,73,Ex 87.04,à moteur à piston à allumage par étincelles relevant des numéros de 87043131 à 87043199 du tarif des droits de douane,Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,74,Ex 87.11,Motocycles et cycles équipés d'un moteur auxiliaire à l'exception des triporteurs d'une cylindrée excédant 125cm 3,Droit de consommation,100,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,75,Ex89.03,yachts et autres bateaux et embarcations de plaisance ou de sport,Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,76,Ex 90.19,"Appareils d'hydro massage pour le massage de tout le corps ou de certaines régions du corps y compris les baignoires et les douches équipés de ""jacuzzi"" de la position tarifaire 901910901",Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,77,91.01,"Montres-bracelets, montres de poche et montres similaires (y compris les compteurs de temps des mêmes types), avec boite en métaux précieux ou en plaqués ou doublés de métaux précieux",Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,78,91.03,"Réveils et pendulettes à mouvement de montre, avec boites en métaux précieux, en plaqué ou doublés de métaux précieux",Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,79,DE Ex 91.11 A Ex 91.13,"Bracelets et boites de montres, cages et cabinets d'appareils d'horlogerie et leurs parties en métaux précieux ou en plaqués ou",Droit de consommation,50,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
en-vigueur-2023,80,Ex 95.04,Cartes à jouer à l'exclusion des cartes à jouer destinées à développer les capacités mentales des enfants,Droit de consommation,60,%,,,dgelf-code-tva-2023,tableau annexé,consolidé
